Codigo del aeropuerto,Nombre del aeropuerto
10135,ABE
10140,ABQ
10154,ACK
10157,ACV
10158,ACY
10208,AGS
10227,AIY
10257,ALB
10279,AMA
10372,ASE
10397,ATL
10408,ATW
10423,AUS
10431,AVL
10466,AZA
10529,BDL
10559,BFI
10581,BGR
10590,BHC
10599,BHM
10620,BIL
10627,BIS
10666,BLI
10676,BLV
10685,BMI
10693,BNA
10713,BOI
10721,BOS
10781,BTR
10785,BTV
10792,BUF
10800,BUR
10821,BWI
10849,BZN
10868,CAE
10874,CAK
10977,CGX
10980,CHA
10986,CHI
10990,CHO
10994,CHS
11003,CID
11042,CLE
11057,CLT
11066,CMH
11109,COS
11140,CRP
11193,CVG
11252,DAB
11259,DAL
11267,DAY
11278,DCA
11292,DEN
11295,DET
11298,DFW
11423,DSM
11432,DTT
11433,DTW
11481,ECP
11495,EFD
11503,EGE
11540,ELP
11603,EUG
11612,EVV
11618,EWR
11624,EYW
11637,FAR
11638,FAT
11648,FCA
11697,FLL
11714,FMY
11719,FNL
11721,FNT
11775,FSD
11789,FTW
11823,FWA
11834,FYV
11884,GEG
11898,GFK
11973,GPT
11986,GRR
11995,GSO
11996,GSP
12055,GYY
12070,HAR
12094,HDN
12108,HFD
12124,HHH
12191,HOU
12197,HPN
12206,HRL
12217,HSV
12223,HTS
12244,HVN
12264,IAD
12265,IAG
12266,IAH
12278,ICT
12280,IDA
12323,ILM
12339,IND
12391,ISP
12441,JAC
12448,JAN
12451,JAX
12478,JFK
12544,USA
12546,JRB
12884,LAN
12889,LAS
12892,LAX
12896,LBB
12898,LBE
12917,LCK
12945,LEX
12953,LGA
12954,LGB
12992,LIT
13029,LNK
13158,MAF
13184,MBS
13198,MCI
13204,MCO
13230,MDT
13232,MDW
13244,MEM
13256,MFE
13264,MFR
13277,MGM
13296,MHT
13303,MIA
13341,MKC
13342,MKE
13360,MLB
13422,MOB
13433,MOT
13439,MPB
13476,MRY
13485,MSN
13486,MSO
13487,MSP
13495,MSY
13502,MTJ
13541,MVY
13577,MYR
13784,NYC
13796,OAK
13851,OKC
13871,OMA
13891,ONT
13930,ORD
13931,ORF
13933,ORH
13936,ORL
14004,PAE
14025,PBG
14027,PBI
14057,PDX
14082,PGD
14098,PHF
14100,PHL
14107,PHX
14108,PIA
14112,PIE
14122,PIT
14193,PNS
14252,PSC
14262,PSP
14307,PVD
14314,PVU
14321,PWM
14457,RAP
14489,RDM
14492,RDU
14512,RFD
14524,RIC
14570,RNO
14574,ROA
14576,ROC
14635,RSW
14672,SAC
14679,SAN
14683,SAT
14685,SAV
14689,SBA
14696,SBN
14699,SBS
14730,SDF
14747,SEA
14761,SFB
14771,SFO
14783,SGF
14814,SHV
14831,SJC
14869,SLC
14893,SMF
14908,SNA
14952,SPI
14986,SRQ
15008,STC
15016,STL
15020,STP
15023,STS
15070,SWF
15096,SYR
15249,TLH
15295,TOL
15304,TPA
15346,TSS
15356,TTN
15370,TUL
15376,TUS
15380,TVC
15412,TYS
15589,VGT
15624,VPS
15628,VRB
15715,WAS
15758,WHR
15919,XNA
16440,AUS
